#BASE PRESETS - MODS
#Name										#Desc																#Image		#Files
No mod;										Play Vanilla Doom;													;							
Brutal Doom v20b R;							Last version of Brutal Doom in version 20 (2017);					;			brutalv20b_R.pk3
Brutal Doom v21;							Brutal Doom version 21 Gold (2019);									;			brutalv21.pk3
Brutal Doom v21 + Power Fantasy v2;			Brutal Doom version 21 Gold + Addon Power Fantasy v2;				;			brutalv21.pk3,BrutalDoom PowerFantasy v2.pk3
Embers of Armageddon;						Partial conversion into Doom 2016 gameplay;							;			EOA Assets.pk3,EOA Code.pk3
Embers of Armageddon with monsters;			Partial conversion into Doom 2016 gameplay (including monsters);	;			EOA Assets.pk3,EOA Code.pk3,STR_EOA_D4_MonstersFixed.pk3
